Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Haq M.A.; Khan M.A.R.; Alshehri M.,"Haq, Mohd Anul (56041027200); Khan, Mohd Abdul Rahim (57221983656); Alshehri, Mohammed (57203785047)",56041027200; 57221983656; 57203785047,Insider Threat Detection Based on NLP Word Embedding and Machine Learning,2022,Intelligent Automation and Soft Computing,33,1,,619,635,46,10.32604/iasc.2022.021430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122303547&doi=10.32604%2Fiasc.2022.021430&partnerID=40&md5=2de9ccd3e52190f91ff9925c9feaf3c3,"The growth of edge computing, the Internet of Things (IoT), and cloud computing have been accompanied by new security issues evolving in the information security infrastructure. Recent studies suggest that the cost of insider attacks is higher than the external threats, making it an essential aspect of information security for organizations. Efficient insider threat detection requires state-of-the-art Artificial Intelligence models and utility. Although significant have been made to detect insider threats for more than a decade, there are many limitations, including a lack of real data, low accuracy, and a relatively low false alarm, which are major concerns needing further investigation. In this paper, an attempt to fulfill these gaps by detecting insider threats with the novelties of the present investigation first developed two deep learning hybrid LSTM models integrated with Goo-gle's Word2vec LSTM (Long Short-Term Memory) GLoVe (Global Vectors for Word Representation) LSTM. Secondly, the performance of two hybrid DL models was compared with the state-of-the-art ML models such as XGBoost, Ada-Boost, RF (Random Forest), KNN (K-Nearest Neighbor) and LR (Logistics Regression). Thirdly, the present investigation bridges the gaps of using a real dataset, high accuracy, and significantly lower false alarm rate. It was found that ML-based models outperformed the DL-based ones. The results were evaluated based on earlier studies and deemed efficient at detecting insider threats using the real dataset. © 2022, Tech Science Press. All rights reserved.",Global vectors for word representation; Insider threats; Lstm; Natural language processing; Word2vec,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85122303547
Janjua F.; Masood A.; Abbas H.; Rashid I.; Khan M.M.Z.M.,"Janjua, Faisal (24833060300); Masood, Asif (55864362900); Abbas, Haider (57221959316); Rashid, Imran (24438093900); Khan, Malik M. Zaki Murtaza (57211678335)",24833060300; 55864362900; 57221959316; 24438093900; 57211678335,Textual analysis of traitor-based dataset through semi supervised machine learning,2021,Future Generation Computer Systems,125,,,652,660,20,10.1016/j.future.2021.06.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111874321&doi=10.1016%2Fj.future.2021.06.036&partnerID=40&md5=0f38c6aa17e930183918a7327fc568fb,"Insider threats are one of the most challenging and growing security threats which the government agencies, organizations, and institutions face. In such scenarios, malicious (red) activities are performed by the authorized individuals within the company. Because of which, an insider threat has become a taxing and difficult task to identify among other attacks. Along with other monitoring parameters; email logs play a vital role in many research areas such as stalking Insider Threat involving Collaborating Traitors, Textual Analysis, and Social Media exploration. This paper presents a semi-supervised machine learning framework which embraces the pre-processing and classification techniques together for unlabeled dataset i.e. emails. Enron Corporation dataset has been used for experiments and TWOS for evaluation of the proposed framework. Initially, dataset is transformed into vector form using Term Frequency–Inverse Document Frequency (TF–IDF). Thereafter, K-Means is used to classify emails based on message content. Finally, Machine Learning algorithm Decision Tree (DT) is applied to classify the malicious activities. The proposed framework has also been tested with other algorithms such as Logistic Regression (LR), Naive Bayes (NB), KNN, Support Vector Machine (SVM), Random Forest (RF) and Neural Network (NN). However, Decision Tree (DT) combined with pre-processing steps has given the desired results with 99.96% Accuracy and 0.994 AUC for identification of malicious content. © 2021 Elsevier B.V.",Enron dataset; Insider threat; Machine learning; Malicious emails; Text classification; TWOS dataset,Decision trees; Electronic mail; Learning algorithms; Support vector machines; Text processing; Enron dataset; Insider Threat; Machine-learning; Malicious email; Security threats; Semi-supervised; Supervised machine learning; Text classification; Textual-analysis; TWOS dataset; Classification (of information),Article,Final,,Scopus,2-s2.0-85111874321
Amiri-Zarandi M.; Karimipour H.; Dara R.A.,"Amiri-Zarandi, Mohammad (56431124700); Karimipour, Hadis (35386597500); Dara, Rozita A. (35726812900)",56431124700; 35386597500; 35726812900,A federated and explainable approach for insider threat detection in IoT,2023,Internet of Things (Netherlands),24,,100965,,,16,10.1016/j.iot.2023.100965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174156807&doi=10.1016%2Fj.iot.2023.100965&partnerID=40&md5=f7cef37709822f8f56b901a97f677e9a,"An insider threat is a malicious action launched by authorized personnel inside the organization. Since insider actions may only leave a small digital footprint in the system, it is considered a major cybersecurity challenge in different applications. Along with the rapid growth of the Internet of Things (IoT) and the extensive attack surface in this technology, many concerns have been raised regarding the potential insider threats in IoT environments. Several studies have been conducted on Machine Learning (ML)-based insider threat detection solutions which are focused on the models’ performance while the trustability of these models is neglected. Trustworthy Learning refers to a new trend in ML that focuses on ways to ensure that the data collection and data analysis procedures in ML techniques follow ethical applications and are trustable to human users. This approach enforces the acceptance and successful adoption of ML-based solutions. This study aims to propose an improved trustworthy insider threat detection method that ensures two of the trustworthy learning requirements: Privacy and Explainability. The proposed solution protects the privacy of the utilized data and is capable of explaining why certain behaviors are detected as a threat. The proposed solution also leverages data collaboration between different data owners to increase the volume of data used in the training process and enhance the performance of the ML model. Experimental results show the proposed solution outperforms the learning models trained by individual data holders. © 2023 Elsevier B.V.",Anomaly detection; Explainable artificial intelligence; Federated learning; Insider threat detection; Internet of things; Interpretable artificial intelligence; Privacy; Security; Trustworthy learning,,Article,Final,,Scopus,2-s2.0-85174156807
Rekha M.; Rani P.S.,"Rekha, M. (60392408200); Rani, P. Shobha (59700945100)",60392408200; 59700945100,Enhancing cloud security using attention-based improved RegNet with hybrid vigenere-shift transposition algorithm,2025,Journal of Cloud Computing,14,1,85,,,0,10.1186/s13677-025-00794-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026306864&doi=10.1186%2Fs13677-025-00794-1&partnerID=40&md5=8762c6c3d5e44641d68eb6f059097d24,"Cloud computing services have become essential daily, gaining popularity across several sectors due to their intrinsic qualities, including scalability and adaptability. However, despite its advantages, cloud networks are susceptible to security threats, including insider threats, data breaches, and illegal access due to their shared infrastructure, necessitating robust security mechanisms. One of the most effective defences is an Intrusion Detection System (IDS), which monitors network traffic and system activity to identify harmful threats. However, traditional IDS strugglesto accurately identify attacks due to the massive volume of cloud traffic and the complexity of modern intrusions. To tackle these challenges, this paper proposes a novel Deep Learning (DL)-based ID called Attention-Based Improved Regularization Network (ABIRegNet) with an encryption technique to enhance cloud data security. The intrusion dataset undergoes preprocessing to enhance quality by removing noise and normalizing. To mitigate the class imbalance problem, Adaptive Synthetic (ADASYN) technique is used. Next, we use the Variational Autoencoder (VAE) to select the relevant features, reducing computational complexity. The chosen features are sent into the proposed ABIRegNet to detect whether the data is normal or malicious. The ABIRegNet model integrates a Multi-Pooling Channel Attention (MPCA) mechanismto enhance intrusion detection by focusingon significant features. Furthermore, Parrot Optimization Algorithm (POA) is used to optimize the model hyperparameters for improved performance. After classification, normal data is encrypted utilizing the Hybrid Vigenere-Shift Transposition Algorithm (HVSTA), which combines the Vigenere Cipher (VC) with the Cyclic Shift Transposition Algorithm (CSTA) to securely store data on a cloud server. The suggested approach is implemented in Python. The proposed method has been analyzed on two datasets, achieving accuracies of 99.37% on CICIDS2017 and 99% on NSL-KDD. Experimental results illustrate that the suggested methodoutperforms state-of-the-art methods, indicating strong potential for enhancing intrusion detection and cloud data security. © The Author(s) 2025.",Attention based improved RegNet; Cloud computing; Hybrid vigenere-shift transposition algorithm; Intrusion detection system; Secure data storage,Cloud security; Computer crime; Cryptography; Data privacy; Digital storage; Network intrusion; Network security; Optimization; Attention based improved regnet; Cloud computing services; Cloud data; Cloud securities; Cloud-computing; Hybrid vigenere-shift transposition algorithm; Intrusion Detection Systems; Intrusion-Detection; Regularization networks; Secure data storage; Intrusion detection,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105026306864
Yumlembam R.; Issac B.; Jacob S.M.; Yang L.; Krishnan D.,"Yumlembam, Rahul (57804712700); Issac, Biju (16021747000); Jacob, Seibu Mary (16021952300); Yang, Longzhi (35199129500); Krishnan, Deepa (56322533400)",57804712700; 16021747000; 16021952300; 35199129500; 56322533400,Insider Threat Detection Using GCN and Bi-LSTM with Explicit and Implicit Graph Representations,2025,IEEE Transactions on Artificial Intelligence,,,,,,0,10.1109/TAI.2025.3647418,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025801437&doi=10.1109%2FTAI.2025.3647418&partnerID=40&md5=d02c1c56c7d39e309ccd0b5f549b1ab7,"Insider threat detection (ITD) remains a significant challenge in cybersecurity due to the concealed nature of malicious activities by trusted insiders. This paper introduces a novel post-hoc ITD framework that enhances detection capabilities by integrating explicit and implicit graph structures with a temporal component to analyse user behaviour effectively. We construct an explicit graph using predefined rules that capture user activities within an organisation’s network, providing insights into explicit relationships between actions. To address potential noise and sub-optimality in the explicit graph, we complement it with an implicit graph derived from feature similarities using the Gumbel-softmax trick, which refines the structure by leveraging underlying patterns. Both graphs are processed through separate Graph Convolutional Networks (GCNs) to produce node embeddings, which are then concatenated and refined using an attention mechanism to emphasise critical features for threat detection. These refined embeddings are subsequently fed into a bidirectional Long Short-Term Memory (Bi-LSTM) network to capture the temporal dynamics of user behaviour. The model flags activities as anomalous if their probability scores fall below a predefined threshold. Extensive evaluations on two CERT datasets, r5.2 and r6.2, demonstrate that our framework significantly outperforms state-of-the-art methods. On the r5.2 dataset, our model achieves an Area Under the Curve (AUC) of 98.62, a perfect Detection Rate (DR) of 100%, and a low False Positive Rate (FPR) of 0.05. For the more challenging r6.2 dataset, the model achieves an AUC of 88.48, a DR of 80.15%, and an FPR of 0.15. These results illustrate that combining explicit and implicit graph representations, along with advanced sequential modelling, leads to a robust ITD solution capable of effectively distinguishing between normal and abnormal activities, even in complex scenarios. © 2020 IEEE.",Anomaly Detection; Attention Mechanism; Bi-LSTM Cybersecurity; Deep Learning; Graph Convolutional Network (GCN); Insider Threat Detection Machine Learning; Temporal Analysis; User Behavior Analysis,Big data; Cybersecurity; Deep learning; Graph embeddings; Graph structures; Graph theory; Graphic methods; Network embeddings; Network security; Anomaly detection; Attention mechanisms; Bidirectional long short-term memory cybersecurity; Convolutional networks; Cyber security; Deep learning; Graph convolutional network; Insider threat detection machine learning; Insider threat detections; Machine-learning; Short term memory; Temporal analysis; User behavior analysis; Behavioral research; Convolution,Article,Article in press,All Open Access; Green Open Access,Scopus,2-s2.0-105025801437
Ye X.; Han M.-M.,"Ye, Xiaoyun (57200435940); Han, Myung-Mook (7402604202)",57200435940; 7402604202,An improved feature extraction algorithm for insider threat using hidden Markov model on user behavior detection,2022,Information and Computer Security,30,1,,19,36,11,10.1108/ICS-12-2019-0142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099772532&doi=10.1108%2FICS-12-2019-0142&partnerID=40&md5=42231570675fc406ca06b934c1f630e4,"Purpose: By using a new feature extraction method on the Cert data set and using a hidden Markov model (HMM) to model and analyze the behavior of users to distinguish whether the behavior is normal within a continuous period. Design/methodology/approach: Feature extraction of five parts of the time series by rules and sorting in chronological order. Use the obtained features to calculate the probability parameters required by the HMM model and establish a behavior model for each user. When the user has abnormal behavior, the model will return a very low probability value to distinguish between normal and abnormal information. Findings: Generally, HMM parameters are obtained by supervised learning and unsupervised learning, but the hidden state cannot be clearly defined. When the hidden state is determined according to the data set, the accuracy of the model will be improved. Originality/value: This paper proposes a new feature extraction method and analysis mode, which determines the shape of the hidden state according to the situation of the data set, making subsequent HMM modeling simple and efficient and in turn improving the accuracy of user behavior detection. © 2020, Emerald Publishing Limited.",Anomaly detection; Hidden Markov model; Insider threat detection; Viterbi algorithm,Behavioral research; Data mining; Extraction; Hidden Markov models; Abnormal behavior; Behavior model; Chronological order; Design/methodology/approach; Feature extraction algorithms; Feature extraction methods; Insider Threat; Low probability; Feature extraction,Article,Final,,Scopus,2-s2.0-85099772532
Al-Shehari T.; Kadrie M.; Al-Mhiqani M.N.; Alfakih T.; Alsalman H.; Uddin M.; Ullah S.S.; Dandoush A.,"Al-Shehari, Taher (55362465000); Kadrie, Mohammed (58930613500); Al-Mhiqani, Mohammed Nasser (57197853907); Alfakih, Taha (56576325400); Alsalman, Hussain (57193675119); Uddin, Mueen (42062605100); Ullah, Syed Sajid (57409953400); Dandoush, Abdulhalim (23396072200)",55362465000; 58930613500; 57197853907; 56576325400; 57193675119; 42062605100; 57409953400; 23396072200,Comparative evaluation of data imbalance addressing techniques for CNN-based insider threat detection,2024,Scientific Reports,14,1,24715,,,13,10.1038/s41598-024-73510-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206962382&doi=10.1038%2Fs41598-024-73510-9&partnerID=40&md5=0290f8f4fb6ac4987e948556e85f7b27,"Insider threats pose a significant challenge in cybersecurity, demanding advanced detection methods for effective risk mitigation. This paper presents a comparative evaluation of data imbalance addressing techniques for CNN-based insider threat detection. Specifically, we integrate Convolutional Neural Networks (CNN) with three popular data imbalance addressing techniques: Synthetic Minority Over-sampling Technique (SMOTE), Borderline-SMOTE, and Adaptive Synthetic Sampling (ADASYN). The objective is to enhance insider threat detection accuracy and robustness in imbalanced datasets common to cybersecurity domains. Our study addresses the lack of consensus in the literature regarding the superiority of data imbalance addressing techniques in this field. We analyze a human behavior-based dataset (i.e., CERT) that reports users’ Information Technology (IT) activities with a substantial number of samples to provide a clear conclusion on the effectiveness of these balancing techniques when coupled with CNN. Experimental results demonstrate that ADASYN, in conjunction with CNN, achieves a ROC curve of 96%, surpassing SMOTE and Borderline-SMOTE in enhancing detection accuracy in imbalanced datasets. We compare the results of these three hybrid models (CNN + imbalance addressing techniques) with state-of-the-art selective studies focusing on ROC, recall, and accuracy measures. Our findings contribute to the advancement of insider threat detection methodologies. © The Author(s) 2024.",ADASYN; CNN; Data imbalance addressing; Deep learning; Insider threat detection; SMOTE,"Algorithms; Computer Security; Humans; Neural Networks, Computer; algorithm; artificial neural network; comparative study; computer security; human",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85206962382
Tian T.; Zhang C.; Jiang B.; Feng H.; Lu Z.,"Tian, Tian (59822194600); Zhang, Chen (57758185800); Jiang, Bo (57200094755); Feng, Huamin (23392330300); Lu, Zhigang (57192073270)",59822194600; 57758185800; 57200094755; 23392330300; 57192073270,Insider threat detection for specific threat scenarios,2025,Cybersecurity,8,1,17,,,5,10.1186/s42400-024-00321-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000717153&doi=10.1186%2Fs42400-024-00321-w&partnerID=40&md5=83fc2ea2c5a81cd0034f3f4fe0e147b1,"Insider threats pose significant challenges to network security due to their destructive and covert nature, often resulting in substantial losses for enterprises. Traditional methods mainly analyze user behavior patterns or convert behaviors into time sequences for further analysis. However, existing detection methods primarily focus on identifying abnormal users or behaviors, lacking the capability to pinpoint specific threats. Additionally, these methods struggle to accurately identify long-distance dependencies in behavior sequences, frequently increasing false positives. To address these issues, we introduce a scenario-oriented insider threat detection model. This model targets three specific threat scenarios-privilege abuse, identity theft, and data leakage-by analyzing user behavior patterns, extracting detailed behavioral characteristics, and constructing behavior sequences. Firstly, this paper serializes user behavior daily and vectorizes it using one-hot encoding. Then, it introduces contextual characteristic information and reconstructs the background of abnormal behavior through behavior vectorization, providing a comprehensive description of user behavior characteristics. This approach addresses the issue of behavior isolation, thereby improving the accuracy and robustness of anomaly detection. Subsequently, a time series analysis model based on a multi-head attention mechanism is employed to analyze long-distance dependencies in behavior sequences. The multi-head attention mechanism simultaneously attends to multiple positions in the behavior sequence, capturing potential correlations between behaviors and user behavior patterns. This mechanism can analyze local information and obtain long-distance dependencies, providing depth feature representation for anomaly detection. Ultimately, we achieve the goal of classifying abnormal behavior sequences. We conduct comprehensive tests on the CERT dataset, demonstrating that our method outperforms traditional deep learning approaches (LSTM, GNN, and GCN) in detecting abnormal sequences. Compared to the best results among the baseline methods, it shows an improvement in accuracy of approximately 2% for privilege abuse, 5% for identity theft, and 2% for data leakage. © The Author(s) 2025.",Behavior sequences; Insider threat; Multi-attention mechanism; Specific threat scenarios; User behavior patterns,Anomaly detection; Crime; Deep learning; Network security; Risk perception; Attention mechanisms; Behavior sequences; Identity theft; Insider Threat; Insider threat detections; Long-distance dependencies; Multi-attention mechanism; Specific threat scenario; Threat scenarios; User behavior patterns; Information leakage,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-86000717153
Zhu X.; Dong J.; Qi J.; Zhou Z.; Dong Z.; Sun Y.; Wang M.,"Zhu, Xingjian (58786986600); Dong, Jiankuo (55837107800); Qi, Jin (36168452100); Zhou, Zhenguo (59141405600); Dong, Zhenjiang (59291284000); Sun, Yanfei (8432928100); Wang, Moyu (59141796300)",58786986600; 55837107800; 36168452100; 59141405600; 59291284000; 8432928100; 59141796300,AUTH: An Adversarial Autoencoder Based Unsupervised Insider Threat Detection Scheme for Multisource Logs,2024,IEEE Transactions on Industrial Informatics,20,9,,10954,10965,7,10.1109/TII.2024.3393491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194034580&doi=10.1109%2FTII.2024.3393491&partnerID=40&md5=3918bb9a397e946c322f95f07c3be02d,"Deep learning has shown broad research prospects in addressing insider threats, a serious problem currently facing industrial information systems. Although deep learning is able to capture effective feature representations from complex multidimensional data, there are still issues such as strong stealth of insider threat behavior and the imbalance data that need to be solved. Therefore, we propose an adversarial Autoencoder based Unsupervised insider Threat detection scHeme (AUTH). Compared to other methods, AUTH fully considers the role of time feature and event feature in threat detection. In addition, in order to improve the performance of autoencoder models to detect covert threat behaviors, AUTH drives a temporal convolutional network and long short-term memory network-based Adversarial Autoencoder (TL-AAE). Generative Adversarial Theory is introduced to solve the problem of uncertainty in the latent feature of the encoder. Finally, with the sufficient experiments on public datasets, we demonstrate that the usefulness of adding time features and the proposed TL-AAE model to improve threat detection performance. Compared with the baseline, AUTH obtains the area under curve value of 0.932, which is 4.95% higher than the highest result obtained by the baseline. In addition, AUTH obtains the EER value of 0.146, which is 12.57% lower than the lowest result of the baseline. © 2005-2012 IEEE.",Adversarial autoencoder; insider threat detection; time series data; unsupervised learning,Brain; Digital storage; Hidden Markov models; Industrial research; Long short-term memory; Adversarial autoencoder; Auto encoders; Deep learning; Detection scheme; Features extraction; Hidden-Markov models; Insider threat detections; Machine-learning; Threat assessment; Time-series data; Feature extraction,Article,Final,,Scopus,2-s2.0-85194034580
Senevirathna D.H.; Gunasekara W.M.M.; Gunawardhana K.P.A.T.; Ashra M.F.F.; Fernando H.; Abeywardena K.Y.,"Senevirathna, D.H. (59970008900); Gunasekara, W.M.M. (59970574900); Gunawardhana, K.P.A.T. (59970355900); Ashra, M.F.F. (59970468000); Fernando, Harinda (57206453627); Abeywardena, Kavinga Yapa (57191334930)",59970008900; 59970574900; 59970355900; 59970468000; 57206453627; 57191334930,Enhancing Organizational Threat Profiling by Employing Deep Learning with Physical Security Systems and Human Behavior Analysis,2025,International Journal of Advanced Computer Science and Applications,16,6,,284,293,0,10.14569/IJACSA.2025.0160628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009493244&doi=10.14569%2FIJACSA.2025.0160628&partnerID=40&md5=5d706f0f6f02f9b807cbc16fe4298bb1,"Organizations need a comprehensive threat profiling system that uses cybersecurity methods together with physical security methods because advanced cyber-threats have become more complex. The objective of this study is to implement deep learning models to boost organizational threat identification via human behavior assessment and continuous surveillance activities. Our method for human behavior analysis detects insider threats through assessments of user activities that include logon patterns along with device interactions and measurement of psychometric traits. CNN, together with Random Forest classifiers, has been utilized to identify behavioral patterns that indicate security threats from inside the organization. Our model uses labeled datasets of abnormal user behavior to properly differentiate between normal and dangerous user activities with high accuracy. The physical security component improves surveillance abilities through the use of MobileNetV2 for real-time anomaly detection in CCTV video data. The system receives training to detect security breaches and violent and unauthorized entry attempts, and specific security-related incidents. The combination of transfer learning and fine-tuning methodologies enables MobileNetV2 to deliver outstanding security anomaly detection alongside low power requirements, thus it fits into Security Operations Centers operations. Experiments using our framework operate on existing benchmark collection sets that assess cybersecurity, together with physical security threats. Experimental testing establishes high precision levels for detecting insider threats along with physical security violations by surpassing conventional rule-based methods. Security Operation Centers gain an effective modern threat profiling solution through the application of deep learning models. The investigation generates better organization defenses against cyber-physical threats using behavioral analytics together with intelligent surveillance systems. © (2025), (Science and Information Organization). All rights reserved.",Deep learning; human behavior analysis; physical security; security operation centers; threat profiling,Anomaly detection; Behavioral research; Cyber Physical System; Cybersecurity; Learning systems; Network security; Pattern recognition; Security systems; Cyber security; Deep learning; Human behavior analysis; Insider Threat; Learning models; Organisational; Physical security; Security operation center; Threat profiling; User activity; Deep learning,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105009493244
Attou H.; Mohy-eddine M.; Guezzaz A.; Benkirane S.; Azrour M.; Alabdultif A.; Almusallam N.,"Attou, Hanaa (57883509600); Mohy-eddine, Mouaad (59878769700); Guezzaz, Azidine (57194492918); Benkirane, Said (36518236400); Azrour, Mourade (57193500437); Alabdultif, Abdulatif (55387649900); Almusallam, Naif (56331085300)",57883509600; 59878769700; 57194492918; 36518236400; 57193500437; 55387649900; 56331085300,Towards an Intelligent Intrusion Detection System to Detect Malicious Activities in Cloud Computing,2023,Applied Sciences (Switzerland),13,17,9588,,,88,10.3390/app13179588,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170361487&doi=10.3390%2Fapp13179588&partnerID=40&md5=acc6c1c811233fa0156cb35f489a9545,"Several sectors have embraced Cloud Computing (CC) due to its inherent characteristics, such as scalability and flexibility. However, despite these advantages, security concerns remain a significant challenge for cloud providers. CC introduces new vulnerabilities, including unauthorized access, data breaches, and insider threats. The shared infrastructure of cloud systems makes them attractive targets for attackers. The integration of robust security mechanisms becomes crucial to address these security challenges. One such mechanism is an Intrusion Detection System (IDS), which is fundamental in safeguarding networks and cloud environments. An IDS monitors network traffic and system activities. In recent years, researchers have explored the use of Machine Learning (ML) and Deep Learning (DL) approaches to enhance the performance of IDS. ML and DL algorithms have demonstrated their ability to analyze large volumes of data and make accurate predictions. By leveraging these techniques, IDSs can adapt to evolving threats, detect previous attacks, and reduce false positives. This article proposes a novel IDS model based on DL algorithms like the Radial Basis Function Neural Network (RBFNN) and Random Forest (RF). The RF classifier is used for feature selection, and the RBFNN algorithm is used to detect intrusion in CC environments. Moreover, the datasets Bot-IoT and NSL-KDD have been utilized to validate our suggested approach. To evaluate the impact of our approach on an imbalanced dataset, we relied on Matthew’s Correlation Coefficient (MCC) as a normalized measure. Our method achieves accuracy (ACC) higher than 92% using the minimum features, and we managed to increase the MCC from 28% to 93%. The contributions of this study are twofold. Firstly, it presents a novel IDS model that leverages DL algorithms, demonstrating an improved ACC higher than 92% using minimal features and a substantial increase in MCC from 28% to 93%. Secondly, it addresses the security challenges specific to CC environments, offering a promising solution to enhance security in cloud systems. By integrating the proposed IDS model into cloud environments, cloud providers can benefit from enhanced security measures, effectively mitigating unauthorized access and potential data breaches. The utilization of DL algorithms, RBFNN, and RF has shown remarkable potential in detecting intrusions and strengthening the overall security posture of CC. © 2023 by the authors.",anomaly detection; cloud security; features engineering; radial basis function neural network; random forest,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85170361487
Al-Shehari T.; Alsowail R.A.,"Al-Shehari, Taher (55362465000); Alsowail, Rakan A. (57194619724)",55362465000; 57194619724,Random resampling algorithms for addressing the imbalanced dataset classes in insider threat detection,2023,International Journal of Information Security,22,3,,611,629,14,10.1007/s10207-022-00651-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144873120&doi=10.1007%2Fs10207-022-00651-1&partnerID=40&md5=f4282d35e2de88048c37221fd794f46a,"Cybersecurity threats can be perpetrated by insiders or outsiders. The threats that could be carried out by insiders are far more serious due to their privileged access, which they may use to cause financial loss and reputation harm for an organization. Thus, insider threats represent a major cybersecurity challenge for private and government organizations. Researchers and cybersecurity practitioners have proposed different approaches for detecting and mitigating insider threats, but they face many challenges (e.g., dataset availability and the highly imbalanced classes of the available dataset). Because the shortcoming of an insider threat dataset, the benchmarking dataset given by The Computer Emergency Response Team (CERT) was used to validate the majority of the insider threat detection approaches. The CERT dataset of insider threat is extremely imbalanced, and hence, once utilized to validate an insider threat detection model, the detection results may be biased and inaccurate. Such imbalance issue of the CERT dataset is ignored by most existing approaches of insider threat detection. As result, effective model is required to detect insider data leakage incidents from an imbalanced dataset more precisely. In this paper an insider data leakage detection model is proposed to leverage various random sampling techniques and well-known machine learning algorithms to deal with the dataset's extremely imbalanced classes. We evaluate the model on CERT r4.2 insider threat dataset utilizing different sampling techniques, and then compare its performance with the baseline and existing work. The empirical results show that by resolving the imbalanced dataset issue, our model enhances the detection performance of insider data leakage events by surpassing existing approaches. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE.",Imbalanced data classification; Insider data leakage detection; Machine learning model; Resampling techniques,Classification (of information); Cybersecurity; Learning algorithms; Machine learning; Data classification; Data leakage; Imbalanced data; Imbalanced data classification; Insider data leakage detection; Insider Threat; Insider threat detections; Leakage detection; Machine learning models; Resampling technique; Losses,Article,Final,,Scopus,2-s2.0-85144873120
Rani P.; Singh S.; Singh K.,"Rani, Pinki (59080115700); Singh, Sukhdip (57210947709); Singh, Karanbir (58383043700)",59080115700; 57210947709; 58383043700,"Cloud computing security: a taxonomy, threat detection and mitigation techniques",2024,International Journal of Computers and Applications,46,5,,348,361,8,10.1080/1206212X.2024.2319937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186633904&doi=10.1080%2F1206212X.2024.2319937&partnerID=40&md5=fd35e03c947c03f7af5e612cd11bd9e8,"Cloud Computing is a rapidly growing emerging technology in the IT environment. Internet-based computing provides services like sharing resources e.g. network, storage, applications and software through the Internet. Cloud customers can access these services according to their need and pay only for those services which they utilize. Almost every industrial sector like banking, retail, education, healthcare, manufacturing and businesses is adopting cloud techniques within their enterprise either privately or in sharing with other enterprises. However, many security issues must be resolved because they are a barrier in adopting this fast-growing technology. This paper reviews various threats on cloud computing like distributed denial of service attack, spoofing attacks (e.g. ARP Spoofing, IP Spoofing, DNS Spoofing), man-in-the middle attack, data loss, data breach, reused IP address attack, malicious insiders, insecure interfaces & APIs etc. These security issues prevent users from adopting cloud services. This study presents various detection and prevention methods to address cloud security concerns. The effectiveness of each strategy is then analyzed based on its attributes, benefits and drawbacks. Deep learning and machine learning algorithms produce more precise findings for both known and unidentified attack patterns. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",APIs; Cloud computing; DDoS; HDFS; mapreduce; security threats,Application programming interfaces (API); Application programs; Cloud security; Deep learning; Denial-of-service attack; Digital storage; Internet protocols; Learning algorithms; Network security; Web services; API; Cloud computing securities; Cloud-computing; DDoS; HDFS; Map-reduce; Security issues; Security threats; Threat detection; Threats mitigations; MapReduce,Article,Final,,Scopus,2-s2.0-85186633904
